company,website,relationship,competitorType,deliveryModel,threatLevel,sovereignModelCoverage,status,verified,lastCheckedAt,newsUrl,arabicDepthNotes,menaLocalizationNotes,executionScope,proofNotes,reviewSources,reviewSummary,arrEstimate,entryPrice,pricingModel,positioningClaim,competitiveVerdict,featuresNotes,notes,dialects,platformsCovered,labels,radarArabicCitation,radarContentDepth,radarDialectCoverage,radarSovereignModels,radarSurfaceCoverage,radarTechnicalGeo,radarAdoptionAccess,radarProvenOutcomes,radarScoredAt,date_entered,date_modified
Geoplex.ai,,,,,,,Unknown,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARGEO,,,,,Medium,,Operational,,"Aug 17, 2026",https://argeo.ai/investors,Full Arabic mirror of the site now live at /ar (canonical https://www.argeo.ai/ar) with an ar_SA locale alternate; an English MENA strategy post is also live at argeo.ai/en/blog/geo-strategy-mena-market. Still no native Arabic case study and no dialect named. Verified 17 Aug 2026.,"Pivoted to explicit MENA targeting: Arabic site at /ar, ar_SA locale alternate, ""MENA Markets"" in the footer, and a MENA GEO strategy article. HQ still Antalya, Turkey.",,,,,"Self-described on its own investors page as ""a pre-revenue, early-stage consultancy"" (argeo.ai/investors, retrieved 17 Aug 2026).","$450/mo ongoing retainer; one-off discovery audit now $750-$1,200 (was $750 flat). Clutch minimum project size $1,000+, $100-$149/hr.","Four published tiers: Perception Discovery $750-$1,200 one-time; Ongoing Interpretation Review $450/mo; Perception Control $2,500-$4,000; Enterprise Partner custom.",,,,"Opened an Investors page soliciting ""strategic investors with regional access"" and ""financial investors who understand category creation""; no amount disclosed and no round closed. Clutch: founded 2024, 2-9 employees, Turkey, 1 review at 5.0. No team members named anywhere on site.",,,,,4,,,,5,,,"Aug 17, 2026",,
Magneto IT Solutions,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,"Engine claim narrowed: the Saudi AEO page now names only 3 engines (""popular AI assistants widely used in the Middle East"") and the Saudi GEO page names none. Clutch profile lists HQ as Blacktown, Australia with offices in Ahmedabad and Pimpri-Chinchwad (India), Thurmaston (England) and Brampton (Canada) - no MENA office listed; its MENA presence is a /sa/ landing-page path. May warrant reclassification out of MENA/Regional; not changed here pending a primary source.",,ChatGPT; Gemini; Perplexity,,,,,,,,,,,,
upGrowth,,,,,,,Operational,,"Aug 17, 2026",https://upgrowth.in/geo-agency-dubai/,"First explicit Arabic claim: ""Our GEO framework includes Arabic language optimization for AI platforms that support it. ChatGPT, Gemini, and Claude all process Arabic queries, though with varying sophistication."" No Arabic-language pages, no dialect named, no Arabic result published.","Dedicated Dubai/UAE GEO landing page published 6 Mar 2026 (upgrowth.in/geo-agency-dubai). Its Dubai case study (Delicut, AED 20K to 2M/month) carries no AI-visibility metric. HQ still Pune, India; pricing still quoted in rupees.",,,,,,"AI citation audit now Rs 5,000-Rs 35,000 (was Rs 5,000 flat); execution retainer from Rs 1,50,000/mo.","Full price card now published: audit Rs 5K-35K; strategy sprint Rs 4L; retainers startup Rs 50,000-1,50,000/mo (~$600-$1,800), growth Rs 1.5L-5L/mo (~$1,800-$6,000), enterprise Rs 5L-15L/mo (~$6,000-$18,000); stated sweet spot Rs 2L-4L/mo; fractional CMO Rs 3L+/mo.",,,,"Third-party tool stack (Goodie AI, Otterly, AirOps) is no longer named on any current page; the investment guide now references only generic ""AI monitoring tools Rs 50,000-1,50,000/month"". Clutch: $1,000+ minimum, under $25/hr, 2-9 employees, still 0 reviews.",,,,,,2,,,,,,"Aug 17, 2026",,
Dfeelings,,,,,,,Operational,,"Aug 17, 2026",,,"Dedicated Saudi Arabia GEO landing page now live (dfeelings.com/en/saudi-arabia/geo-agency) with the dialect claim repeated twice: ""strategy and content adapted for the Saudi audience, search behavior, and Arabic dialect"". Still no named dialect (no Najdi, Khaleeji or Hijazi).",,,,,,,,,,"Added Short Link Manager and Bio Link Pages tools; service packages now named Foundation, Growth, AI Leadership and Automation.","Engine count differs by page: 3 on the Saudi GEO page, 5 on the UAE/Saudi/Qatar blog post. Closest thing to a sovereign-model line remains generic and names no model: ""Ensure your content is optimized for Arabic-language AI models, which are becoming increasingly prevalent in the MENA region"".",,ChatGPT; Gemini; Perplexity; Microsoft Copilot; Google AI Overviews,,,,,,4,,,,"Aug 17, 2026",,
Stand Out,,,,,Medium,,Operational,,"Aug 17, 2026",,,,,"Homepage now publishes 30+ named clients including PIF, Mobily, Saudia, KAUST, Virgin, Kidana, Tamer, Wataniya Insurance, GAC, Arabian Cement, CPI, Saudi Paper Group and SGS. Testimonials are unquantified (e.g. ""the website contributed""); no AI-visibility or Arabic-citation metric is attached to any of them.",,,,,,,,"Six AI-automation service lines added: customer service, sales conversion, operations, content generation, advanced reporting and internal workflows.","The GEO page no longer names any AI engine (baseline recorded 1); the service is described only as smart-search visibility, entity clarity and structured data. Still no Clutch, G2 or Capterra profile and no LinkedIn company page found. Pricing remains request-a-quote only.",,,,,,,,,,,,,,
Maps of Arabia,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,#1 Arabic SEO Agency on Google,,,"Clutch lists HQ as Amman, Jordan with 11 MENA locations including Dubai, Riyadh and Kuwait City (baseline recorded Saudi Arabia); $50-$99/hr, 10-49 employees, service mix SEO 90% / PR 10%. The AEO page names no engine; the GEO page names ChatGPT and Gemini.",,,,,,,,,,,,,,
Peec AI,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profound,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semrush AI Toolkit,,,,,,,Operational,,"Aug 17, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,
